The Unfamiliar;Título original;Idioma original;Duración;Directores;Sinopsis;21/8/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Kill Chain;Título original;Idioma original;Duración;Directores;Sinopsis;20/2/2020 (UA);Clasificación por edad;Imagen cartel;Puntuación
The Wrong Fiancé;Título original;Idioma original;Duración;Directores;Sinopsis;8/1/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Toda una vida en un año;Título original;Idioma original;Duración;Directores;Sinopsis;27/11/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Caos. El inicio;Título original;Idioma original;Duración;Directores;Sinopsis;23/4/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
Megalodón;Título original;Idioma original;Duración;Directores;Sinopsis;10/8/2018 (ES);Clasificación por edad;Imagen cartel;Puntuación
El ritmo de la venganza;Título original;Idioma original;Duración;Directores;Sinopsis;31/1/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
Boruto: Naruto the Movie;Título original;Idioma original;Duración;Directores;Sinopsis;7/8/2015 (JP);Clasificación por edad;Imagen cartel;Puntuación
Tiempo de caza;Título original;Idioma original;Duración;Directores;Sinopsis;10/4/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Atrapado en Grand Isle;Título original;Idioma original;Duración;Directores;Sinopsis;6/12/2019 (US);Clasificación por edad;Imagen cartel;Puntuación
